City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,poopo,-18.3667,-66.9667,6.96,78,100,3.31,BO,1675620830
353,dongsheng,39.8161,109.9776,-4.5,37,100,2.84,CN,1675620830
354,suntar,62.1444,117.6319,-48.8,100,75,0.94,RU,1675620831
355,adeje,28.1227,-16.726,18.09,54,40,4.63,ES,1675620831
356,wellington,-41.2866,174.7756,19.81,91,75,6.69,NZ,1675620656
357,nagato,34.3833,131.2,4.97,70,3,1.9,JP,1675620833
358,kirkuk,35.4681,44.3922,10.19,59,93,5.43,IQ,1675620833
359,mahibadhoo,3.7833,72.9667,27.34,74,99,2.99,MV,1675620834
360,melipilla,-33.7,-71.2167,19.45,35,0,5.91,CL,1675620835
361,ascension,30.2169,-90.9001,20.6,55,100,4.12,US,1675620835
362,honningsvag,70.9821,25.9704,-2.14,86,100,10.29,NO,1675620836
